project_name,rera_id,promoter_name,district,project_type,developer_name,locality,city,land_area,number_of_towers,number_of_floors,total_units,unit_types,unit_sizes,project_status,possession_date,price_range,is_high_rise,source_url_99acres,faq_url_99acres,extraction_source
ATS ALLURE,UPRERAPRJ918,ATS Realty Private Limited,Gautam Buddha Nagar,Residential,,,,8.48 acres,,,,,,,,,,https://www.99acres.com/ats-allure-yamuna-expressway-greater-noida-npxid-r16380,https://www.99acres.com/ats-faqs-allure-yamuna-expressway-greater-noida-npxid-r16380,DDG Snippet
ATS RHAPSODY,UPRERAPRJ4115,ATS Township Private Limited,Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/ats-rhapsody-sector-1-greater-noida-west-greater-noida-npxid-r270729,https://www.99acres.com/ats-faqs-rhapsody-sector-1-greater-noida-west-greater-noida-npxid-r270729,
Supertech Czar,UPRERAPRJ9414,SUPERTECH LIMITED,Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
1st - A Park View,UPRERAPRJ574384,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/gaur-yamuna-city-16th-park-view-yamuna-expressway-greater-noida-npxid-r64448,https://www.99acres.com/gaur-faqs-yamuna-city-16th-park-view-yamuna-expressway-greater-noida-npxid-r64448,
1st - B Park View,UPRERAPRJ235739,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/gaur-yamuna-city-16th-park-view-yamuna-expressway-greater-noida-npxid-r64448,https://www.99acres.com/gaur-faqs-yamuna-city-16th-park-view-yamuna-expressway-greater-noida-npxid-r64448,
14th Avenue,UPRERAPRJ6742,Gaursons Promoters Private Limited,Gautam Buddha Nagar,Residential,,,,15.77 acres,21,30,4953,,,,,,,https://www.99acres.com/gaur-city-2-14th-avenue-sector-16c-greater-noida-npxid-r20882,https://www.99acres.com/gaur-faqs-city-2-14th-avenue-sector-16c-greater-noida-npxid-r20882,DDG Snippet
168Xaviers - Cambridge and Crystal,UPRERAPRJ8242,OPULENT INFRADEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
168Xaviers - MARIOTT TOWER,UPRERAPRJ6754,OPULENT INFRADEVELOPERS PRIVATE LIMITED,Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,,,
16th Parkview - Gaur Yamuna City,UPRERAPRJ6801,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/gaur-yamuna-city-16th-park-view-yamuna-expressway-greater-noida-npxid-r64448,https://www.99acres.com/gaur-faqs-yamuna-city-16th-park-view-yamuna-expressway-greater-noida-npxid-r64448,
2nd Parkview,UPRERAPRJ4464,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/gaur-yamuna-city-7th-parkview-yamuna-expressway-greater-noida-npxid-r306777,https://www.99acres.com/gaur-faqs-yamuna-city-7th-parkview-yamuna-expressway-greater-noida-npxid-r306777,
32nd Parkview,UPRERAPRJ4193,Gaursons Realtech Private Limited,Gautam Buddha Nagar,Residential,,,,,,,,,,,,,,https://www.99acres.com/gaur-yamuna-city-7th-parkview-yamuna-expressway-greater-noida-npxid-r306777,https://www.99acres.com/gaur-faqs-yamuna-city-7th-parkview-yamuna-expressway-greater-noida-npxid-r306777,
